"","x"
"1","abov"
"2","accept"
"3","accord"
"4","actual"
"5","ad"
"6","add"
"7","addit"
"8","address"
"9","admin"
"10","bad"
"11","agre"
"12","aid"
"13","alreadi"
"14","anal"
"15","rape"
"16","ani"
"17","anoth"
"18","articl"
"19","ass"
"20","fuck"
"21","assad"
"22","hanibal911you"
"23","bastard"
"24","pro"
"25","asshol"
"26","ball"
"27","ban"
"28","bark"
"29","baster"
"30","becaus"
"31","fggt"
"32","befor"
"33","believ"
"34","big"
"35","bitch"
"36","bitches"
"37","block"
"38","bollock"
"39","boob"
"40","book"
"41","bullshit"
"42","bunkstev"
"43","gay"
"44","bush"
"45","buttseck"
"46","care"
"47","dont"
"48","case"
"49","categori"
"50","chang"
"51","check"
"52","chester"
"53","cite"
"54","claim"
"55","clear"
"56","cock"
"57","notrhbysouthbanof"
"58","suck"
"59","cocksuck"
"60","mothjer"
"61","fucker"
"62","comment"
"63","consensus"
"64","consid"
"65","content"
"66","continu"
"67","contribut"
"68","copyright"
"69","correct"
"70","crap"
"71","creat"
"72","criminalwar"
"73","criteria"
"74","cunt"
"75","damn"
"76","current"
"77","date"
"78","delet"
"79","dick"
"80","dickhead"
"81","die"
"82","fag"
"83","differ"
"84","direct"
"85","discuss"
"86","doe"
"87","dog"
"88","dumb"
"89","eat"
"90","shit"
"91","edit"
"92","summari"
"93","editor"
"94","english"
"95","exampl"
"96","exist"
"97","explain"
"98","fact"
"99","faggot"
"100","huge"
"101","fair"
"102","fat"
"103","jew"
"104","feel"
"105","find"
"106","fire"
"107","follow"
"108","found"
"109","free"
"110","freedom"
"111","nigga"
"112","shut"
"113","wikipedia"
"114","yourselfgo"
"115","fuckin"
"116","fucksex"
"117","super"
"118","general"
"119","god"
"120","good"
"121","great"
"122","group"
"123","guidelin"
"124","guy"
"125","ha"
"126","hate"
"127","you"
"128","heil"
"129","hitler"
"130","hell"
"131","hey"
"132","histori"
"133","homo"
"134","howev"
"135","http"
"136","idiot"
"137","im"
"138","imag"
"139","import"
"140","improv"
"141","includ"
"142","inform"
"143","interest"
"144","involv"
"145","issu"
"146","kill"
"147","lead"
"148","lick"
"149","life"
"150","link"
"151","list"
"152","littl"
"153","lol"
"154","loser"
"155","love"
"156","made"
"157","main"
"158","make"
"159","man"
"160","mani"
"161","materi"
"162","matter"
"163","media"
"164","mention"
"165","mexican"
"166","mitt"
"167","romney"
"168","moron"
"169","mother"
"170","move"
"171","nazi"
"172","nigger"
"173","nippl"
"174","noob"
"175","wiki"
"176","notabl"
"177","note"
"178","notic"
"179","number"
"180","offfuck"
"181","onli"
"182","opinion"
"183","origin"
"184","oxymoron"
"185","page"
"186","part"
"187","pathet"
"188","peni"
"189","person"
"190","piec"
"191","pig"
"192","place"
"193","pleas"
"194","point"
"195","polici"
"196","poop"
"197","posit"
"198","possibl"
"199","present"
"200","prick"
"201","problem"
"202","propos"
"203","provid"
"204","public"
"205","publish"
"206","pussi"
"207","put"
"208","question"
"209","quot"
"210","racist"
"211","read"
"212","reason"
"213","recent"
"214","redirect"
"215","refer"
"216","regard"
"217","relat"
"218","reliabl"
"219","sourc"
"220","remov"
"221","request"
"222","research"
"223","retard"
"224","revert"
"225","review"
"226","rule"
"227","vandal"
"228","section"
"229","sentenc"
"230","sever"
"231","sex"
"232","sexsex"
"233","sexual"
"234","show"
"235","simpli"
"236","sinc"
"237","small"
"238","smell"
"239","specif"
"240","speedi"
"241","start"
"242","state"
"243","statement"
"244","stop"
"245","stupid"
"246","style"
"247","subject"
"248","suggest"
"249","support"
"250","tag"
"251","talk"
"252","templat"
"253","term"
"254","test"
"255","text"
"256","time"
"257","titl"
"258","topic"
"259","understand"
"260","upload"
"261","ur"
"262","useless"
"263","user"
"264","utc"
"265","veri"
"266","version"
"267","view"
"268","wanker"
"269","war"
"270","welcom"
"271","whore"
"272","word"
"273","work"
"274","write"
"275","year"
"276","freezer"
"277","noe"
